Date,Sales
2022-01-01,8852.407437621334
2022-01-02,7989.535526767612
2022-01-03,9353.788335257326
2022-01-04,10686.563036819407
2022-01-05,7349.725463285291
2022-01-06,7509.8709321385795
2022-01-07,10693.658171801037
2022-01-08,9503.206371655117
2022-01-09,7675.446374722786
2022-01-10,10221.613560054695
2022-01-11,7754.441449874173
2022-01-12,7946.211258346184
2022-01-13,8978.557396796845
2022-01-14,5679.584217777666
2022-01-15,5696.155857086406
2022-01-16,7785.708830266224
2022-01-17,6672.959836491936
2022-01-18,8846.213541956658
2022-01-19,6959.268615592674
2022-01-20,6393.201892507078
2022-01-21,11399.269087157709
2022-01-22,7625.947247802315
2022-01-23,8849.414265678946
2022-01-24,5937.79138861676
2022-01-25,7616.065494023514
2022-01-26,9081.761628662445
2022-01-27,6894.921153360562
2022-01-28,8854.728720957479
2022-01-29,7510.259767702235
2022-01-30,8402.363498747773
2022-01-31,7523.471228278486
2022-02-01,11496.503606120688
2022-02-02,8653.466674074934
2022-02-03,6883.767071460125
2022-02-04,10547.465501009801
2022-02-05,7032.906039859297
2022-02-06,8382.162242844312
2022-02-07,5794.143325470556
2022-02-08,6487.096915133953
2022-02-09,9228.041435287272
2022-02-10,9544.99209533919
2022-02-11,8894.645704674875
2022-02-12,8645.958720562405
2022-02-13,8470.902114734592
2022-02-14,6078.853441339547
2022-02-15,7469.525986808135
2022-02-16,7808.168466671134
2022-02-17,10022.341840620264
2022-02-18,9667.87888785036
2022-02-19,6089.051569206618
2022-02-20,8708.459622195367
2022-02-21,8286.03214208235
2022-02-22,8196.514377978598
2022-02-23,9788.754015686369
2022-02-24,9637.775833878875
2022-02-25,9783.706674183326
2022-02-26,7637.69957431591
2022-02-27,7824.201791196669
2022-02-28,9113.751179497382
2022-03-01,10162.375970474699
2022-03-02,7452.403764264418
2022-03-03,8135.143072687471
2022-03-04,5781.571134060036
2022-03-05,6293.563707535196
2022-03-06,9519.768077829991
2022-03-07,10018.211069752262
2022-03-08,8721.259621273095
2022-03-09,9397.156075652867
2022-03-10,8712.722961572186
2022-03-11,7355.29635708599
2022-03-12,9239.841996215255
2022-03-13,10123.469335519267
2022-03-14,8524.435543008352
2022-03-15,10561.610556944073
2022-03-16,3970.202768716696
2022-03-17,9548.8539420862
2022-03-18,8351.2012135152
2022-03-19,7516.375783948976
2022-03-20,8288.115507912999
2022-03-21,5017.756632407289
2022-03-22,7805.054868480555
2022-03-23,8821.295124039778
2022-03-24,10766.830489151615
2022-03-25,6913.389438881486
